feature,importance
best_finish_last3,0.28212076
points,0.18093002
points_last3,0.1664594
avg_finish_last3,0.078052655
track_temperature,0.074137084
position_num,0.0526205
driver_number,0.051631708
air_temperature,0.03416244
best_lap_time,0.025567697
median_lap_time,0.02184005
best_lap_time_last3,0.016330313
median_lap_time_last3,0.016147353
dnf_flag,0.0
grid_pos,0.0
dnf_rate_last3,0.0
avg_grid_pos_last3,0.0
team_avg_points_last3,0.0
team_best_finish_last3,0.0
track_altitude_m,0.0
track_length_km,0.0
overtake_difficulty,0.0
