date,session_key,pit_duration,lap_number,meeting_key,driver_number
2025-03-16T04:23:12.761000+00:00,9693,13.3,2,1254,4
2025-03-16T04:23:14.282000+00:00,9693,13.4,2,1254,1
2025-03-16T04:23:15.787000+00:00,9693,13.0,2,1254,81
2025-03-16T04:23:18.291000+00:00,9693,13.6,2,1254,63
2025-03-16T04:23:21.181000+00:00,9693,14.1,2,1254,16
2025-03-16T04:23:24.246000+00:00,9693,14.9,2,1254,22
2025-03-16T04:23:26.497000+00:00,9693,15.0,2,1254,23
2025-03-16T04:23:28.680000+00:00,9693,15.0,2,1254,44
2025-03-16T04:23:31.233000+00:00,9693,15.1,2,1254,10
2025-03-16T04:23:33.032000+00:00,9693,15.5,2,1254,14
2025-03-16T04:23:35.723000+00:00,9693,15.5,2,1254,18
2025-03-16T04:23:37.404000+00:00,9693,15.1,2,1254,27
2025-03-16T04:23:38.906000+00:00,9693,14.6,2,1254,12
2025-03-16T04:23:40.336000+00:00,9693,14.4,2,1254,5
2025-03-16T04:23:42.208000+00:00,9693,14.3,2,1254,31
2025-03-16T04:23:44.866000+00:00,9693,14.7,2,1254,30
2025-03-16T04:23:45.808000+00:00,9693,14.6,2,1254,87
2025-03-16T04:25:54.261000+00:00,9693,12.9,3,1254,4
2025-03-16T04:25:56.710000+00:00,9693,13.7,3,1254,1
2025-03-16T04:25:58.250000+00:00,9693,13.8,3,1254,81
2025-03-16T04:26:00.588000+00:00,9693,14.1,3,1254,63
2025-03-16T04:26:03.317000+00:00,9693,14.6,3,1254,16
2025-03-16T04:26:07.237000+00:00,9693,15.2,3,1254,22
2025-03-16T04:26:11.014000+00:00,9693,16.9,3,1254,23
2025-03-16T04:26:12.947000+00:00,9693,16.1,3,1254,44
2025-03-16T04:26:14.535000+00:00,9693,15.7,3,1254,10
2025-03-16T04:26:16.239000+00:00,9693,16.2,3,1254,14
2025-03-16T04:26:18.773000+00:00,9693,16.0,3,1254,18
2025-03-16T04:26:20.410000+00:00,9693,15.9,3,1254,27
2025-03-16T04:26:22.648000+00:00,9693,16.3,3,1254,12
2025-03-16T04:26:24.517000+00:00,9693,16.3,3,1254,5
2025-03-16T04:26:26.647000+00:00,9693,16.4,3,1254,31
2025-03-16T04:26:29.150000+00:00,9693,16.3,3,1254,30
2025-03-16T04:26:30.064000+00:00,9693,16.3,3,1254,87
2025-03-16T04:28:30.190000+00:00,9693,12.8,4,1254,4
2025-03-16T04:28:32.243000+00:00,9693,12.9,4,1254,1
2025-03-16T04:28:33.914000+00:00,9693,12.8,4,1254,81
2025-03-16T04:28:37.172000+00:00,9693,13.6,4,1254,63
2025-03-16T04:28:39.089000+00:00,9693,14.1,4,1254,16
2025-03-16T04:28:42.407000+00:00,9693,13.6,4,1254,22
2025-03-16T04:28:44.788000+00:00,9693,14.2,4,1254,23
2025-03-16T04:28:47.101000+00:00,9693,14.7,4,1254,44
2025-03-16T04:28:49.811000+00:00,9693,14.7,4,1254,10
2025-03-16T04:28:51.748000+00:00,9693,15.0,4,1254,14
2025-03-16T04:28:54.348000+00:00,9693,14.4,4,1254,18
2025-03-16T04:28:56.162000+00:00,9693,14.1,4,1254,27
2025-03-16T04:28:57.988000+00:00,9693,13.9,4,1254,12
2025-03-16T04:29:00.339000+00:00,9693,14.2,4,1254,5
2025-03-16T04:29:08.384000+00:00,9693,19.6,4,1254,31
2025-03-16T04:29:09.440000+00:00,9693,18.8,4,1254,30
2025-03-16T04:29:15.713000+00:00,9693,22.4,4,1254,87
2025-03-16T05:15:54.880000+00:00,9693,18.9,33,1254,22
2025-03-16T05:15:55.546000+00:00,9693,18.5,33,1254,23
