position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,4,57.0,25.0,False,False,False,6126.304,0.0,1254,9693
2.0,1,57.0,18.0,False,False,False,6127.199,0.895,1254,9693
3.0,63,57.0,15.0,False,False,False,6134.785,8.481,1254,9693
4.0,12,57.0,12.0,False,False,False,6136.439,10.135,1254,9693
5.0,23,57.0,10.0,False,False,False,6139.077,12.773,1254,9693
6.0,18,57.0,8.0,False,False,False,6143.717,17.413,1254,9693
7.0,27,57.0,6.0,False,False,False,6144.727,18.423,1254,9693
8.0,16,57.0,4.0,False,False,False,6146.13,19.826,1254,9693
9.0,81,57.0,2.0,False,False,False,6146.752,20.448,1254,9693
10.0,44,57.0,1.0,False,False,False,6148.777,22.473,1254,9693
11.0,10,57.0,0.0,False,False,False,6152.806,26.502,1254,9693
12.0,22,57.0,0.0,False,False,False,6156.188,29.884,1254,9693
13.0,31,57.0,0.0,False,False,False,6159.465,33.161,1254,9693
14.0,87,57.0,0.0,False,False,False,6166.655,40.351,1254,9693
,30,46.0,0.0,True,False,False,,,1254,9693
,5,45.0,0.0,True,False,False,,,1254,9693
,14,32.0,0.0,True,False,False,,,1254,9693
,55,0.0,0.0,True,False,False,,,1254,9693
,7,0.0,0.0,True,False,False,,,1254,9693
,6,0.0,0.0,False,True,False,,,1254,9693
1.0,81,56.0,25.0,False,False,False,5455.026,0,1255,9998
2.0,4,56.0,18.0,False,False,False,5464.774,9.748,1255,9998
3.0,63,56.0,15.0,False,False,False,5466.123,11.097,1255,9998
4.0,1,56.0,12.0,False,False,False,5471.682,16.656,1255,9998
5.0,31,56.0,10.0,False,False,False,5504.995,49.969,1255,9998
6.0,12,56.0,8.0,False,False,False,5508.774,53.748,1255,9998
7.0,23,56.0,6.0,False,False,False,5511.347,56.321,1255,9998
8.0,87,56.0,4.0,False,False,False,5516.329,61.303,1255,9998
9.0,18,56.0,2.0,False,False,False,5525.23,70.204,1255,9998
10.0,55,56.0,1.0,False,False,False,5531.413,76.387,1255,9998
11.0,6,56.0,0.0,False,False,False,5533.901,78.875,1255,9998
12.0,30,56.0,0.0,False,False,False,5536.173,81.147,1255,9998
13.0,7,56.0,0.0,False,False,False,5543.427,88.401,1255,9998
14.0,5,55.0,0.0,False,False,False,,+1 LAP,1255,9998
15.0,27,55.0,0.0,False,False,False,,+1 LAP,1255,9998
16.0,22,55.0,0.0,False,False,False,,+1 LAP,1255,9998
,14,4.0,0.0,True,False,False,,,1255,9998
,16,,0.0,False,False,True,,,1255,9998
,44,,0.0,False,False,True,,,1255,9998
,10,,0.0,False,False,True,,,1255,9998
1.0,1,53.0,25.0,False,False,False,4926.983,0,1256,10006
2.0,4,53.0,18.0,False,False,False,4928.406,1.423,1256,10006
3.0,81,53.0,15.0,False,False,False,4929.112,2.129,1256,10006
4.0,16,53.0,12.0,False,False,False,4943.08,16.097,1256,10006
